Date,Open,High,Low,Close,Adj Close,Volume
2018-01-01,5.130000,5.410000,5.020000,5.110000,4.366615,636434762
2018-02-01,5.140000,5.184000,4.612000,4.779000,4.164902,788033230
2018-03-01,4.764000,5.028000,4.546000,4.970000,4.331358,668872627
2018-04-01,4.970000,5.278000,4.893000,5.268000,4.591067,428872505
2018-05-01,5.268000,5.400000,4.555000,4.703000,4.098668,905241818
2018-06-01,4.820000,4.951000,4.564000,4.757000,4.145729,691516159
2018-07-01,4.730000,4.927000,4.653000,4.770000,4.157059,530831056
2018-08-01,4.702000,4.707000,4.256000,4.260000,3.815246,571978871
2018-09-01,4.244000,4.663000,4.215000,4.412000,3.951377,708043140
2018-10-01,4.400000,4.580000,4.255000,4.334000,3.881520,719639643
2018-11-01,4.325000,4.835000,4.325000,4.790000,4.289913,618264689
2018-12-01,4.867000,5.190000,4.706000,5.044000,4.517395,658190861
2019-01-01,5.044000,5.314000,4.981000,5.266000,4.716217,613739723
2019-02-01,5.274000,5.330000,5.076000,5.320000,4.893651,528958555
2019-03-01,5.326000,5.730000,5.282000,5.704000,5.246877,664568845
2019-04-01,5.714000,5.735000,5.416000,5.639000,5.187086,467082702
2019-05-01,5.639000,5.824000,5.476000,5.570000,5.123616,607957699
2019-06-01,5.560000,6.339000,5.544000,6.140000,5.647935,572432234
2019-07-01,6.191000,6.624000,6.056000,6.199000,5.702207,634764281
2019-08-01,6.156000,6.708000,5.957000,6.594000,6.203674,592610758
2019-09-01,6.591000,6.880000,6.415000,6.851000,6.445461,624523454
2019-10-01,6.875000,6.985000,6.580000,6.940000,6.529193,524214185
2019-11-01,6.960000,7.009000,6.731000,6.856000,6.450165,518270182
2019-12-01,6.853000,7.206000,6.596000,7.072000,6.653379,503182082
2020-01-01,7.072000,8.100000,7.072000,7.855000,7.390030,654951177
2020-02-01,7.881000,8.609000,7.495000,7.576000,7.278294,687528601
2020-03-01,7.630000,8.276000,5.150000,6.339000,6.089902,1548878922
2020-04-01,6.208000,6.535000,5.800000,6.236000,5.990950,567675729
2020-05-01,6.236000,6.978000,5.712000,6.901000,6.629818,588649589
2020-06-01,6.975000,7.849000,6.860000,7.678000,7.376285,735414502
2020-07-01,7.745000,8.539000,7.573000,7.729000,7.425281,543747475
2020-08-01,7.731000,8.110000,7.550000,7.589000,7.439087,343639357
2020-09-01,7.658000,7.828000,7.228000,7.418000,7.271466,451819594
2020-10-01,7.460000,7.799000,6.827000,6.834000,6.699002,413149410
2020-11-01,6.879000,8.561000,6.734000,8.370000,8.204659,540447266
2020-12-01,8.453000,8.459000,7.735000,8.276000,8.112516,416814418
2021-01-01,8.276000,9.047000,8.041000,8.191000,8.029196,536996070
2021-02-01,8.246000,8.627000,7.755000,7.844000,7.844000,456911021
2021-03-01,7.900000,8.520000,7.521000,8.493000,8.493000,606033600
2021-04-01,8.461000,8.770000,8.227000,8.267000,8.267000,459595255
2021-05-01,8.267000,8.434000,7.855000,8.966000,7.966000,285386247
