Date,Open,High,Low,Close,Adj Close,Volume
2018-01-01,17.000000,18.389999,16.080000,16.120001,13.353525,110751069
2018-02-01,16.230000,16.980000,14.705000,16.410000,13.593755,132278481
2018-03-01,16.379999,20.559999,15.835000,20.059999,16.617348,173099718
2018-04-01,20.059999,22.200001,19.240000,19.875000,16.464102,99627897
2018-05-01,19.875000,20.379999,19.120001,19.395000,16.855595,82620065
2018-06-01,19.475000,20.389999,18.730000,19.525000,16.968575,74547903
2018-07-01,19.360001,22.600000,19.270000,22.440001,19.501911,71943710
2018-08-01,22.430000,22.540001,20.629999,21.850000,18.989161,62653455
2018-09-01,21.730000,22.420000,20.930000,21.250000,18.467718,68412510
2018-10-01,21.200001,21.400000,16.780001,17.219999,14.965370,117964567
2018-11-01,17.184999,19.600000,17.174999,19.065001,16.568804,93571153
2018-12-01,19.360001,19.764999,18.090000,18.965000,16.481897,63381217
2019-01-01,18.965000,21.790001,18.745001,21.639999,18.806654,82932283
2019-02-01,21.750000,22.690001,21.180000,21.459999,18.650223,65447962
2019-03-01,21.639999,24.540001,20.910000,23.900000,20.770750,69139995
2019-04-01,24.010000,24.230000,22.280001,22.770000,19.788706,51833458
2019-05-01,22.770000,23.780001,21.230000,22.360001,19.432384,83540525
2019-06-01,22.150000,24.000000,21.340000,21.670000,19.435514,73275645
2019-07-01,21.799999,25.299999,21.520000,24.459999,21.937822,80761036
2019-08-01,24.500000,26.100000,24.340000,25.910000,23.238308,66389743
2019-09-01,26.040001,28.809999,25.820000,28.690001,25.731651,69729300
2019-10-01,28.740000,28.770000,26.190001,27.330000,24.511887,63516656
2019-11-01,27.400000,27.840000,25.260000,26.910000,24.135193,78182000
2019-12-01,26.850000,27.350000,25.410000,27.350000,24.529825,55059334
2020-01-01,27.350000,32.250000,26.440001,31.340000,28.108398,74681985
2020-02-01,31.490000,34.639999,30.360001,31.160000,27.946960,62918274
2020-03-01,31.040001,34.189999,20.049999,23.959999,21.489380,153877231
2020-04-01,23.420000,26.700001,22.260000,26.240000,23.534279,66593542
2020-05-01,26.240000,30.700001,25.469999,29.790001,27.574236,59938530
2020-06-01,29.790001,32.380001,28.580000,31.110001,28.796055,66474615
2020-07-01,30.700001,34.200001,30.459999,31.980000,31.154522,46060357
2020-08-01,32.099998,34.990002,31.959999,33.299999,32.440449,57636559
2020-09-01,33.570000,34.490002,30.030001,31.980000,31.154522,54938172
2020-10-01,32.200001,34.470001,30.980000,31.790001,30.969427,44680139
2020-11-01,32.020000,35.299999,31.379999,34.770000,33.872505,54473687
2020-12-01,34.820000,35.459999,32.119999,34.570000,33.677666,44735947
2021-01-01,34.570000,38.650002,33.630001,35.459999,34.544693,52025739
2021-02-01,35.500000,37.549999,30.969999,31.340000,30.531042,57613022
2021-03-01,31.820000,33.439999,29.950001,33.419998,32.557350,74486158
2021-04-01,33.500000,3483.000000,31.340000,31.540001,30.725880,50094483
2021-05-01,31.670000,32.360001,30.280001,31.780001,31.780001,34934710
