Entreprise;Ville;Latitude;Longitude
RWE;Essen;51.4582235;7.0158171
Verbund;Vienne;48.2083537;16.3725042
Vattenfall;Solna;59.361367;18.0013693
EON;Essen;51.4582235;7.0158171
EnBW;Karlsruhe;49.0068705;8.4034195
Engie;Paris;48.8566969;2.3514616
EDP;Lisbonne;38.7077507;-9.1365919
Fortum;Espoo;60.2241869;24.6603626
EDF;Paris;48.8566969;2.3514616
Endesa;Madrid;40.4167047;-3.7035825
SSE;Perth;56.3957679;-3.4335463
Iberdrola;Bilbao;43.2630018;-2.9350039
Centrica;Windsor;51.483798;0.6041397
Innogy;Essen;51.4582235;7.0158171
CEZ Group;Prague;50.0874654;14.4212535
Enel;Rome;41.902784;12.496366
