Date,Open,High,Low,Close,Adj Close,Volume
2018-01-01,10.420000,11.440000,10.285000,11.075000,9.711474,56290039
2018-02-01,11.130000,11.370000,9.832000,10.705000,9.387027,72424358
2018-03-01,10.660000,11.945000,10.150000,11.760000,10.312140,61529353
2018-04-01,11.760000,11.985000,11.075000,11.650000,10.215681,49927549
2018-05-01,11.650000,12.560000,11.220000,11.400000,9.996461,57374599
2018-06-01,11.420000,12.100000,11.065000,11.780000,10.596526,56942506
2018-07-01,11.710000,12.940000,11.645000,12.800000,11.514052,41948877
2018-08-01,12.870000,14.495000,12.645000,14.110000,12.692443,47711294
2018-09-01,14.010000,15.780000,13.650000,15.125000,13.605472,59804549
2018-10-01,15.115000,15.645000,14.275000,14.680000,13.205180,59865310
2018-11-01,14.675000,15.890000,13.355000,14.510000,13.052258,58212531
2018-12-01,14.705000,14.815000,13.170000,13.800000,12.413588,47501785
2019-01-01,13.800000,14.525000,13.550000,14.430000,13.120270,43514111
2019-02-01,14.485000,15.475000,12.615000,12.770000,11.610939,56867688
2019-03-01,12.800000,13.115000,11.930000,12.190000,11.083582,47816599
2019-04-01,12.300000,12.895000,11.895000,12.840000,11.674584,46714865
2019-05-01,12.840000,12.995000,11.905000,12.560000,11.419999,46370276
2019-06-01,12.480000,12.760000,10.775000,11.085000,10.209031,52363054
2019-07-01,11.240000,11.430000,10.805000,11.215000,10.328758,44146084
2019-08-01,11.170000,11.215000,10.230000,11.065000,10.190612,39190936
2019-09-01,11.045000,11.230000,9.888000,10.270000,9.458435,57656904
2019-10-01,10.280000,10.450000,8.930000,9.252000,8.520881,47089423
2019-11-01,9.250000,9.480000,9.012000,9.324000,8.587191,44003263
2019-12-01,9.470000,10.130000,9.216000,9.928000,9.292831,41577175
2020-01-01,9.928000,11.575000,9.752000,11.155000,10.441330,50834398
2020-02-01,11.250000,13.610000,11.225000,12.590000,11.784523,64027539
2020-03-01,12.700000,13.485000,5.978000,7.186000,6.726258,120206779
2020-04-01,7.010000,8.200000,6.550000,7.274000,6.808628,65447474
2020-05-01,7.274000,8.124000,6.822000,7.956000,7.446995,56460178
2020-06-01,8.070000,9.100000,7.670000,8.210000,8.059555,76477230
2020-07-01,8.222000,9.940000,8.052000,8.550000,8.393325,60436686
2020-08-01,8.588000,9.176000,8.306000,8.802000,8.640707,42904160
2020-09-01,8.880000,9.134000,8.064000,9.026000,8.860602,82254472
2020-10-01,9.040000,10.725000,8.966000,9.968000,9.785340,65132877
2020-11-01,10.020000,12.990000,9.848000,12.715000,12.482002,69197085
2020-12-01,12.710000,13.200000,11.920000,12.895000,12.658705,49577352
2021-01-01,12.895000,13.575000,10.070000,10.280000,10.091622,73299933
2021-02-01,10.330000,10.885000,9.820000,9.908000,9.726439,50693615
2021-03-01,9.970000,11.605000,9.632000,11.440000,11.230366,72191498
2021-04-01,11.440000,12.500000,11.110000,12.120000,11.897905,67039840
2021-05-01,12.065000,12.235000,11.215000,11.535000,11.323626,31965793
