Date,Open,High,Low,Close,Adj Close,Volume
2018-01-01,6.460000,6.796000,6.394000,6.558000,5.662179,461487105
2018-02-01,6.574000,6.668000,5.872000,6.076000,5.360920,438007508
2018-03-01,6.052000,6.160000,5.712000,5.972000,5.269160,417727209
2018-04-01,5.972000,6.466000,5.908000,6.416000,5.660905,354042623
2018-05-01,6.416000,6.608000,6.054000,6.072000,5.357390,379256115
2018-06-01,6.108000,6.742000,6.092000,6.624000,5.844426,453889066
2018-07-01,6.562000,6.992000,6.478000,6.650000,5.867366,442185883
2018-08-01,6.640000,6.670000,6.402000,6.422000,5.821644,313263674
2018-09-01,6.398000,6.512000,6.206000,6.338000,5.745496,322531674
2018-10-01,6.358000,6.476000,5.938000,6.256000,5.671163,379801538
2018-11-01,6.254000,6.802000,6.232000,6.590000,5.973938,315971939
2018-12-01,6.696000,7.172000,6.518000,7.018000,6.361928,450348518
2019-01-01,7.018000,7.200000,6.832000,7.200000,6.526913,422127186
2019-02-01,7.232000,7.440000,7.100000,7.352000,6.809734,283864150
2019-03-01,7.360000,7.912000,7.276000,7.826000,7.248774,421269558
2019-04-01,7.850000,8.196000,7.604000,8.098000,7.500711,323858337
2019-05-01,8.098000,8.560000,7.850000,8.314000,7.700779,328275156
2019-06-01,8.282000,9.126000,8.262000,8.766000,8.119441,446421553
2019-07-01,8.836000,9.052000,8.416000,8.570000,7.937896,361842359
2019-08-01,8.522000,9.438000,8.512000,9.352000,8.859043,312385853
2019-09-01,9.350000,9.572000,9.060000,9.536000,9.033344,367289224
2019-10-01,9.532000,9.578000,9.020000,9.208000,8.722633,361025965
2019-11-01,9.260000,9.260000,8.766000,8.928000,8.457393,338741646
2019-12-01,8.918000,9.346000,8.566000,9.180000,8.696109,342875048
2020-01-01,9.180000,10.010000,8.812000,9.870000,9.349739,409953123
2020-02-01,9.898000,11.345000,9.866000,10.320000,9.962312,493304671
2020-03-01,10.510000,11.255000,7.760000,8.984000,8.672618,735185371
2020-04-01,8.754000,9.398000,8.432000,9.140000,8.823211,307168304
2020-05-01,9.140000,9.844000,8.402000,9.688000,9.352217,395196083
2020-06-01,9.750000,10.455000,9.402000,10.320000,9.962312,467331099
2020-07-01,10.345000,11.515000,10.265000,10.920000,10.541516,324492087
2020-08-01,10.870000,11.170000,10.520000,10.550000,10.407180,184455672
2020-09-01,10.655000,10.895000,10.205000,10.510000,10.367722,277441215
2020-10-01,10.620000,11.315000,10.075000,10.125000,9.987933,268386049
2020-11-01,10.160000,11.565000,10.105000,11.445000,11.290064,314419859
2020-12-01,11.440000,11.830000,11.005000,11.700000,11.541612,369184712
2021-01-01,11.700000,12.570000,11.110000,11.185000,11.033584,310788042
2021-02-01,11.105000,11.495000,10.080000,10.425000,10.425000,257576163
2021-03-01,10.495000,11.065000,10.010000,10.985000,10.985000,317194167
2021-04-01,11.000000,11.740000,10.870000,11.235000,11.235000,251718476
2021-05-01,11.250000,11.565000,10.890000,11.270000,11.270000,119029100
