Date,Open,High,Low,Close,Adj Close,Volume
2018-01-01,2.885000,3.019000,2.825000,2.829000,2.171180,124903778
2018-02-01,2.843000,2.852000,2.631000,2.753000,2.112852,145572096
2018-03-01,2.761000,3.093000,2.710000,3.088000,2.369955,218479191
2018-04-01,3.088000,3.349000,3.015000,3.076000,2.360745,142191900
2018-05-01,3.076000,3.533000,2.985000,3.350000,2.730584,210011180
2018-06-01,3.364000,3.470000,3.340000,3.400000,2.771339,117838389
2018-07-01,3.380000,3.538000,3.376000,3.489000,2.843883,84736856
2018-08-01,3.487000,3.549000,3.357000,3.368000,2.745256,66148673
2018-09-01,3.364000,3.368000,3.178000,3.178000,2.590387,94998865
2018-10-01,3.170000,3.291000,3.043000,3.104000,2.530070,104735721
2018-11-01,3.094000,3.178000,3.038000,3.087000,2.516213,94882447
2018-12-01,3.100000,3.144000,2.905000,3.049000,2.485239,106019574
2019-01-01,3.049000,3.200000,2.986000,3.190000,2.600168,114154087
2019-02-01,3.192000,3.286000,3.142000,3.225000,2.628696,113615103
2019-03-01,3.240000,3.529000,3.181000,3.505000,2.856925,188194020
2019-04-01,3.505000,3.559000,3.328000,3.379000,2.754222,123087621
2019-05-01,3.379000,3.384000,3.089000,3.259000,2.656410,130079939
2019-06-01,3.229000,3.490000,3.215000,3.342000,3.064417,142966924
2019-07-01,3.367000,3.453000,3.277000,3.321000,3.045161,150172995
2019-08-01,3.318000,3.455000,3.267000,3.438000,3.152443,142863065
2019-09-01,3.416000,3.603000,3.390000,3.562000,3.266144,165766139
2019-10-01,3.575000,3.700000,3.505000,3.690000,3.383512,174763950
2019-11-01,3.672000,3.775000,3.605000,3.670000,3.365174,152240865
2019-12-01,3.660000,3.918000,3.551000,3.864000,3.543060,155546174
2020-01-01,3.864000,4.585000,3.785000,4.524000,4.148241,184045289
2020-02-01,4.487000,4.874010,4.083340,4.124388,3.781821,249328979
2020-03-01,4.299332,4.662904,2.926165,3.575121,3.278175,544191500
2020-04-01,3.483251,3.790137,3.411905,3.762771,3.450239,230523603
2020-05-01,3.762771,4.231896,3.668946,4.127320,3.784509,225921185
2020-06-01,4.172278,4.356996,3.902531,4.153708,3.993593,223445242
2020-07-01,4.154686,4.602000,4.132207,4.285000,4.119824,204895904
2020-08-01,4.250000,4.477000,4.221000,4.242000,4.078482,123110432
2020-09-01,4.270000,4.450000,4.093000,4.195000,4.033294,151036511
2020-10-01,4.227000,4.708000,4.110000,4.232000,4.068867,137535042
2020-11-01,4.250000,4.620000,4.167000,4.468000,4.295770,167241092
2020-12-01,4.500000,5.324000,4.412000,5.156000,4.957250,130105013
2021-01-01,5.156000,5.660000,4.886000,5.172000,4.972633,149121141
2021-02-01,5.232000,5.270000,4.584000,4.746000,4.563054,146852772
2021-03-01,4.815000,5.060000,4.403000,4.870000,4.682274,171521350
2021-04-01,4.882000,5.228000,4.622000,4.622000,4.443834,163912313
2021-05-01,4.616000,4.749000,4.212000,4.616000,4.616000,89694791
