Entreprise;Année;Chiffre d'Affaires;Résultat net;EBIT;EBITDA;Total bilan;Fonds propres;Dette Financière Nette (DFN);Part du CA Production d'électricité dans le CA total (%);Part du CA réalisé à l'international (%);Part du CA réalisé hors UE;La ventilation du CA est-elle présentée ? ;La répartition du CA par capacité de production est-elle affichée ? ;Capitalisation (31/12/201x) (Mâ‚¬);Actionnariat (%) Etat et affilié;Actionnariat (%) Privé flottant;Actionnariat (%) Privé stable (autre);Capacité installée (GW)Thermique;Capacité installée (GW) Nucléaire;Capacité installée (GW) EnR;Capacité installée (GW) Hydroélectrique;Nombre d'employés (nb);Electricité produite (TWh) Thermique_1;Electricité produite (TWh) Nucléaire_2;Electricité produite (TWh) EnR_3;Electricité produite (TWh) Hydroélectrique_4;VAR EBITDA
Centrica;2013;31353,78;1121;1945,82;2232,56;28135,2;6308,4;6058,8;0,76;0,34;0,31;;;;0,02;0,96;0,03;;;;;34489;12,04;12,04;0,75;0;-1%
SSE;2013;36090,3;526,28;678,85;1001,58;25217,16;6143,4;8817,24;0;0;0;;;;0;0,84;0,16;8,34;0;2,14;1,15;19894;26,7;0;5,45;3,75;5%
EnBW;2013;21373,1;122,3;1020,4;1991,4;36140,5;6082,7;8548;0,26;0;0;;;;;;;7,83;3,33;0,28;2,36;19844;27,85;23,23;7,48;0;13%
EDF;2013;75594;3517;8411;16765;256801;38870;35462;0,95;0,47;0,12;;;;0,84;0,14;0,02;37,65;74,77;5,95;21,98;158467;97,45;487,1;13,86;55,49;9%
Fortum;2013;6056;1279;1712;1975;24420;10662;7849;0,54;0,26;0,22;;;14774;0,51;;0,32;5,83;3,28;1,44;4,59;9186;24,5;23,7;1,2;18;11%
CEZ Group;2013;7912,05;1284,78;1668,37;2991,94;23377,79;9594,35;0;0,87;0,2;0,03;;;;0,7;0,07;0,23;8,21;4,29;0,74;1,96;26582;31,22;30,75;1,99;2,67;-1%
Vattenfall;2013;19819,22;-1563,41;-744,94;5000,75;56153,07;15090,1;12342;0,59;0,72;0,04;;;;;;;19,01;6,98;1,89;11,23;31819;87,9;51,9;6,3;35,6;20%
Iberdrola;2013;32808;2572;2435;7205;92411;35361;28053,01;0,75;0,53;0,22;;;28922;;;;11,19;3,17;13,97;9,37;30650;21,8;22,78;;15,83;0%
EDP;2013;16103,19;1193,52;2085;3617;42649,9;11528,56;0;0,89;0,19;0,18;;;;;;;6,55;0,16;7,92;7,22;12314;15,78;1,16;20,24;21,58;12%
RWE;2013;54070;-2757;5881;8762;81119;12137;10420;0,04;0,45;0,01;;;16200;0,15;0,84;0,01;41,64;3,9;2,85;0,64;64896;172,4;30,5;9,8;4;62%
EON;2013;122450;2510;5681;9315;130725;36285;32218;0,09;0,7;0,01;;;25600;0,72;;0,28;42,01;8,2;4,73;4,97;62239;158,3;56,1;14,9;15,9;15%
Engie;2013;89300;-8909;7828;13017;159611;53490;29840;0,72;0,61;0,21;;;;;;;57,4;5,74;4,1;14,76;147199;237,3;37,29;10,17;54,24;12%
Enel;2013;78663;4780;9740;16691;163865;52832;39682;0,71;0,59;0,15;;;29190;;;;55,94;5,13;6,34;29,84;71394;151,58;40,04;18,88;75,5;8%
Centrica;2014;36465,92;-1246,2;858,95;1152,46;29272,68;3961,59;6702,84;0,81;0,46;0,44;;;;0,02;0,96;0,03;;;;;37530;7,72;11,16;0,9;0;-1%
SSE;2014;36090,3;526,28;678,85;1001,58;25217,16;6143,4;8817,24;0;0;0;;;;0;0,78;0,22;8,34;0;2,24;1,15;19965;19,12;0;4,74;3,73;5%
Engie;2014;74686;3110;6720;12138;165305;55959;27511;0,74;0,63;0,24;;;;;;;85,32;5,77;4,61;20,75;152900;352,88;32,94;14,12;61,17;12%
EnBW;2014;21002,5;-387,6;0,1;1950;38213,1;4545,6;9794,5;0,27;0;0;;;;;;;7,78;3,33;0,27;2,36;20092;25,53;25,09;7,16;0;13%
EDF;2014;72874;3701;7984;17279;267989;40610;34208;0,76;0,45;0,14;;;;0,85;0,14;0,02;35,01;72,91;6,38;21,89;158161;81,1;477,7;13,2;51,5;9%
EDP;2014;16293,88;1263,81;2118;3642;42873,02;11969,14;0;0,87;0,22;0,2;;;;;;;6,38;0,16;8,27;6,87;11798;15,71;1,2;20,13;23,18;12%
Fortum;2014;4751;3161;3428;1873;21375;10864;4217;0,65;0,33;0,27;;;15964;0,51;;0,32;6,5;3,28;0,23;4,62;8592;26,3;23,8;1;22,3;11%
